;PIB;Trabalho;Cambio
BRA-1950;86.574.058.171.913;2042;7,89E-01
BRA-1951;908.136.765.960.718;2051.02;7,93E-02
BRA-1952;99.449.221.807.915;2060.08;7,93E-02
BRA-1953;104.503.139.389.144;2069.18;8,56E-01
BRA-1954;113.076.079.199.048;2078.31;1,31E+00
BRA-1955;120.375.315.183.613;2087.49;1,79E+00
BRA-1956;124.745.030.504.981;2096.71;2,06E+00
BRA-1957;137.270.129.797.878;2105.97;2,18E+00
BRA-1958;146.030.662.023.065;2115.27;2,75E+00
BRA-1959;157.291.121.007.259;2124.62;4,35E+00
BRA-1960;16.949.982.710.784;2134;8,10E+00
BRA-1961;193.353.921.236.025;2135.1;1,17E+00
BRA-1962;203.356.220.512.401;2136.2;1,68E+01
BRA-1963;216.464.956.193.858;2137.29;2,49E+01
BRA-1964;225.476.628.021.434;2138.39;5,42E+00
BRA-1965;241.192.094.494.337;2139.49;8,22E+01
BRA-1966;250.752.649.905.435;2140.59;9,61E+01
BRA-1967;265.130.389.811.011;2141.69;1,15E+02
BRA-1968;294.824.521.719.399;2142.8;1,46E+02
BRA-1969;313.737.917.627.444;2143.9;1,76E+02
BRA-1970;348.008.565.960.001;2145;1,99E+02
BRA-1971;387.472.737.339.883;2128.54;2,29E+02
BRA-1972;433.736.982.178.663;2112.21;2,57E+02
BRA-1973;49.433.003.858.888;2096;2,65E+02
BRA-1974;53.461.793.673.396;2079.77;2,94E+01
BRA-1975;562.257.684.062.948;2063.67;3,52E+01
BRA-1976;619.945.322.447.678;2047.69;4,62E+02
BRA-1977;650.508.626.844.197;2031.83;6,12E+02
BRA-1978;682.838.905.598.612;2016.1;7,82E+02
BRA-1979;728.998.815.617.153;2000.49;1,17E+02
BRA-1980;796.285.406.298.594;1985;2,28E+03
BRA-1981;762.443.276.530.868;1974.1;4,03E+03
BRA-1982;768.771.555.725.847;1963.25;7,77E+03
BRA-1983;746.246.549.143.448;1952.47;2,50E+04
BRA-1984;786.543.862.797.179;1941.75;8,00E+04
BRA-1985;8.482.796.905.878;1931.08;2,68E+05
BRA-1986;911.815.839.412.853;1920.47;5,91E+05
BRA-1987;944.002.938.544.157;1909.92;1,70E+05
BRA-1988;943.436.536.780.884;1899.43;1,14E+06
BRA-1989;973.249.131.343.441;1889;1,23E+08
BRA-1990;930.912.794.129.727;1879;2,96E+09
BRA-1991;940.501.195.909.256;1874.23;0.000175961443086024
BRA-1992;936.266.927.038.139;1869.48;0.00195302352248811
BRA-1993;981.546.606.817.014;1864.73;0.038276610926673
BRA-1994;103.898.974.724.554;1860;0.664683514070577
BRA-1995;108.287.245.162.304;1855.23;0.917666666666667
BRA-1996;110.615.991.572.043;1850.48;10.051
BRA-1997;114.349.562.753.748;1845.73;107.799.166.666.667
BRA-1998;114.389.986.728.758;1841;116.051.666.666.667
BRA-1999;114.680.611.932.456;1841;181.393.284.657.213
BRA-2000;119.618.985.213.025;1841;182.942.312.207.561
BRA-2001;121.189.724.607.939;1841;234.963.170.932.244
BRA-2002;124.411.061.509.865;1841;292.036.301.775.519
BRA-2003;125.837.583.403.078;1841;307.747.511.847.801
BRA-2004;133.025.794.085.989;1841;292.511.944.951.586
BRA-2005;1372289.75;1841;243.439.003.623.188
BRA-2006;142.659.173.649.897;1841;217.532.666.666.667
BRA-2007;15.134.912.970.311;1841;194.705.833.333.333
BRA-2008;159.162.535.120.867;1841;183.376.666.666.667
BRA-2009;158.635.213.293.198;1841;199.942.817.314.426
BRA-2010;170.586.168.269.867;1841;175.922.671.058.718
BRA-2011;175.248.091.799.407;1841;167.282.875.525.659
